City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Baykit,RU,61.67,96.37,57.31,87,100,2.39,overcast clouds
313,Tual,ID,-5.67,132.75,78.76,81,36,16.69,scattered clouds
314,Whitehorse,CA,60.72,-135.05,60.8,72,75,3.36,broken clouds
315,Sassandra,CI,4.95,-6.08,75.24,89,26,8.41,scattered clouds
316,Eureka,US,40.8,-124.16,69.01,8,12,4.0,few clouds
317,Kousseri,CM,12.08,15.03,80.47,76,100,7.16,overcast clouds
318,San-Pedro,CI,4.75,-6.64,75.34,88,24,8.57,few clouds
319,Tamworth,GB,52.63,-1.7,62.6,63,40,11.41,scattered clouds
320,Aden,YE,12.78,45.04,86.23,66,46,2.21,scattered clouds
321,Sumbe,AO,-11.21,13.84,70.18,85,88,5.53,overcast clouds
322,Kenora,CA,49.82,-94.43,78.8,74,75,9.17,broken clouds
323,Kemri,IN,28.82,79.22,79.99,83,13,12.39,few clouds
324,Lake Charles,US,30.21,-93.2,93.2,52,40,6.93,scattered clouds
325,Cidreira,BR,-30.18,-50.21,56.3,62,0,6.71,clear sky
326,Kaeo,NZ,-35.1,173.78,52.0,3,0,4.68,clear sky
327,Cap Malheureux,MU,-19.98,57.61,69.01,78,37,3.0,scattered clouds
328,Qasigiannguit,GL,68.82,-51.19,46.4,61,20,4.7,few clouds
329,Villarrica,PY,-25.75,-56.43,65.97,41,0,4.74,clear sky
330,Ponta Do Sol,PT,32.67,-17.1,73.0,83,0,5.12,clear sky
331,Benjamin Constant,BR,-4.38,-70.03,68.0,72,90,5.82,overcast clouds
332,Puerto Colombia,CO,10.99,-74.95,86.0,74,40,6.93,shower rain
333,Grand-Lahou,CI,5.14,-5.02,75.27,90,50,10.07,scattered clouds
334,Juneau,US,58.3,-134.42,55.99,93,90,3.36,fog
335,Ponta Delgada,PT,37.73,-25.67,77.0,78,20,5.82,few clouds
336,Aykhal,RU,66.0,111.5,44.6,70,29,6.71,scattered clouds
337,Mandurah,AU,-32.55,115.7,59.0,79,100,14.54,overcast clouds
338,Khandyga,RU,62.67,135.6,37.18,79,0,5.7,clear sky
339,Edwardsville,US,38.81,-89.95,84.99,54,40,4.7,scattered clouds
340,Hambantota,LK,6.12,81.12,80.6,94,75,6.93,broken clouds
341,Mandalgovi,MN,45.76,106.27,58.55,51,1,3.51,clear sky
342,Katsuura,JP,35.13,140.3,78.8,83,75,11.41,light intensity shower rain
343,Huilong,CN,31.81,121.66,84.0,92,0,1.01,clear sky
344,Champerico,GT,14.3,-91.92,80.6,88,75,9.17,thunderstorm with light rain
345,Sulangan,PH,11.14,123.72,83.93,77,91,10.6,overcast clouds
346,Itarema,BR,-2.92,-39.92,82.38,64,0,16.75,clear sky
347,Terrak,NO,65.09,12.37,59.0,93,100,5.82,light intensity shower rain
348,Ibra,OM,22.69,58.53,82.33,61,100,6.89,overcast clouds
349,Auki,SB,-8.77,160.7,77.99,86,100,6.35,overcast clouds
350,Havelock,US,34.88,-76.9,89.6,52,20,12.75,few clouds
351,Gifford,US,27.68,-80.41,90.0,62,20,16.11,few clouds
352,Kabo,CF,7.7,18.63,71.53,97,100,3.62,overcast clouds
353,Marfino,RU,55.7,37.38,64.4,63,81,2.24,broken clouds
354,Dumabato,PH,16.32,121.7,73.96,85,97,1.68,overcast clouds
355,Kikwit,CD,-5.04,18.82,80.28,65,86,0.34,overcast clouds
356,Palmer,US,42.16,-72.33,90.0,51,75,8.05,broken clouds
357,Touros,BR,-5.2,-35.46,80.6,69,40,16.11,scattered clouds
358,Berezovka,BY,53.72,25.5,67.53,81,67,11.07,broken clouds
359,Havre-Saint-Pierre,CA,50.23,-63.6,62.6,63,1,14.99,clear sky
